Expected: R_MIN=04, G_MIN=02, B_MIN=15, A_MIN=04
Recieved: R_MIN=04, G_MIN=02, B_MIN=15, A_MIN=04

Expected: R_MIN=00, G_MIN=06, B_MIN=02, A_MIN=04
Recieved: R_MIN=00, G_MIN=06, B_MIN=02, A_MIN=04

Expected: R_MIN=04, G_MIN=1c, B_MIN=07, A_MIN=00
Recieved: R_MIN=04, G_MIN=1c, B_MIN=07, A_MIN=00

Expected: R_MIN=05, G_MIN=11, B_MIN=15, A_MIN=07
Recieved: R_MIN=05, G_MIN=11, B_MIN=15, A_MIN=07

Expected: R_MIN=03, G_MIN=0d, B_MIN=0c, A_MIN=15
Recieved: R_MIN=03, G_MIN=0d, B_MIN=0c, A_MIN=15

Expected: R_MIN=05, G_MIN=00, B_MIN=17, A_MIN=07
Recieved: R_MIN=05, G_MIN=00, B_MIN=17, A_MIN=07

Expected: R_MIN=03, G_MIN=01, B_MIN=01, A_MIN=00
Recieved: R_MIN=03, G_MIN=01, B_MIN=01, A_MIN=00

Expected: R_MIN=00, G_MIN=04, B_MIN=01, A_MIN=05
Recieved: R_MIN=00, G_MIN=04, B_MIN=01, A_MIN=05

Expected: R_MIN=01, G_MIN=00, B_MIN=05, A_MIN=06
Recieved: R_MIN=01, G_MIN=00, B_MIN=05, A_MIN=06

Expected: R_MIN=14, G_MIN=00, B_MIN=07, A_MIN=03
Recieved: R_MIN=14, G_MIN=00, B_MIN=07, A_MIN=03

Expected: R_MIN=05, G_MIN=01, B_MIN=0c, A_MIN=13
Recieved: R_MIN=05, G_MIN=01, B_MIN=0c, A_MIN=13

Expected: R_MIN=17, G_MIN=04, B_MIN=05, A_MIN=0d
Recieved: R_MIN=17, G_MIN=04, B_MIN=05, A_MIN=0d

Expected: R_MIN=02, G_MIN=09, B_MIN=04, A_MIN=01
Recieved: R_MIN=02, G_MIN=09, B_MIN=04, A_MIN=01

Expected: R_MIN=06, G_MIN=04, B_MIN=07, A_MIN=02
Recieved: R_MIN=06, G_MIN=04, B_MIN=07, A_MIN=02

Expected: R_MIN=15, G_MIN=09, B_MIN=05, A_MIN=11
Recieved: R_MIN=15, G_MIN=09, B_MIN=05, A_MIN=11

Expected: R_MIN=0b, G_MIN=01, B_MIN=1f, A_MIN=02
Recieved: R_MIN=0b, G_MIN=01, B_MIN=1f, A_MIN=02

Expected: R_MIN=04, G_MIN=00, B_MIN=01, A_MIN=05
Recieved: R_MIN=04, G_MIN=00, B_MIN=01, A_MIN=05

Expected: R_MIN=0b, G_MIN=02, B_MIN=04, A_MIN=08
Recieved: R_MIN=0b, G_MIN=02, B_MIN=04, A_MIN=08

Expected: R_MIN=00, G_MIN=0d, B_MIN=02, A_MIN=05
