Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,425984,425984,1.0,0,3328
Uncompressed,periodic,1,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,4,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,8,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,16,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,32,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,64,279040,425984,1.526605504587156,1148,2180
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,128,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,1,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,256,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,8,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,strided,16,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,random,1,6398208,6400000,1.000280078421958,14,49986
Uncompressed,strided,64,516096,6393856,12.38888888888889,45920,4032
Uncompressed,random,4,6395136,6400000,1.0007605780393098,38,49962
Uncompressed,skew,1,6395904,6400000,1.0006404098623118,32,49968
Intel_8gen,periodic,0,422336,425984,1.0086376723746022,0,3328
Intel_8gen,periodic,1,276800,425984,1.5389595375722542,1148,2180
Uncompressed,strided,32,1798272,6393856,3.5555555555555554,35903,14049
Intel_8gen,periodic,4,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,periodic,8,276800,425984,1.5389595375722542,1148,2180
Uncompressed,blurred,1,6341760,6400000,1.0091835704914724,455,49545
Intel_8gen,periodic,16,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,periodic,32,276800,425984,1.5389595375722542,1148,2180
Uncompressed,skew,4,6380672,6400000,1.0030291480270417,151,49849
Uncompressed,random,8,6387072,6400000,1.0020240886590914,101,49899
Intel_8gen,periodic,64,276800,425984,1.5389595375722542,1148,2180
Uncompressed,blurred,4,6178304,6400000,1.0358829866578272,1732,48268
Uncompressed,strided,128,516096,6393856,12.38888888888889,45920,4032
Intel_8gen,strided,0,6344128,6393856,1.007838429489443,0,49952
Intel_8gen,periodic,128,276800,425984,1.5389595375722542,1148,2180
Uncompressed,skew,8,6368000,6400000,1.0050251256281406,250,49750
Uncompressed,blurred,8,5944832,6400000,1.0765653259839807,3556,46444
Intel_8gen,strided,1,1784064,6393856,3.583871430621323,35903,14049
Intel_8gen,strided,4,1784064,6393856,3.583871430621323,35903,14049
Intel_8gen,random,0,6349184,6400000,1.0080035481724896,0,50000
Intel_8gen,periodic,256,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,strided,8,1784064,6393856,3.583871430621323,35903,14049
Uncompressed,random,16,6371968,6400000,1.0043992687973322,219,49781
Intel_8gen,strided,16,1784064,6393856,3.583871430621323,35903,14049
Intel_8gen,blurred,0,6399744,6400000,1.000040001600064,0,50000
Intel_8gen,skew,0,6372864,6400000,1.0042580541495942,0,50000
Uncompressed,blurred,16,5542656,6400000,1.1546810770865088,6698,43302
Uncompressed,skew,16,6331520,6400000,1.0108157282927321,535,49465
Intel_8gen,strided,64,512064,6393856,12.486439195100612,45920,4032
Uncompressed,blurred,256,155264,6400000,41.22011541632317,48787,1213
Intel_8gen,random,1,6348544,6400000,1.0081051655308682,20,49980
Intel_8gen,strided,32,1784064,6393856,3.583871430621323,35903,14049
Intel_8gen,random,4,6339264,6400000,1.0095809229588797,58,49942
Uncompressed,strided,256,516096,6393856,12.38888888888889,45920,4032
Uncompressed,blurred,32,4680576,6400000,1.3673530779117784,13433,36567
Intel_8gen,strided,128,512064,6393856,12.486439195100612,45920,4032
Intel_8gen,blurred,1,6340096,6400000,1.0094484373738188,464,49536
Intel_8gen,skew,1,6368832,6400000,1.004893832966547,33,49967
Intel_8gen,blurred,4,6179968,6400000,1.0356040678527785,1712,48288
Uncompressed,blurred,128,1224192,6400000,5.227938101212882,40436,9564
Intel_11gen,periodic,0,422336,425984,1.0086376723746022,0,3328
Intel_8gen,random,8,6336576,6400000,1.0100091910836388,108,49892
Uncompressed,random,32,6348800,6400000,1.0080645161290323,400,49600
Intel_8gen,blurred,8,5967040,6400000,1.0725585885128974,3377,46623
Intel_8gen,skew,4,6356352,6400000,1.006866831792827,119,49881
Uncompressed,skew,32,6261632,6400000,1.022097753429138,1081,48919
Uncompressed,blurred,64,3225600,6400000,1.9841269841269842,24800,25200
Intel_8gen,skew,16,6298880,6400000,1.016053647632595,570,49430
Intel_11gen,periodic,1,276800,425984,1.5389595375722542,1148,2180
Intel_11gen,periodic,4,276800,425984,1.5389595375722542,1148,2180
Intel_11gen,periodic,8,276800,425984,1.5389595375722542,1148,2180
Intel_11gen,periodic,16,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,skew,8,6341696,6400000,1.0091937551090433,259,49741
Intel_11gen,periodic,64,276800,425984,1.5389595375722542,1148,2180
Intel_11gen,random,0,6350720,6400000,1.007759750075582,0,50000
Intel_11gen,periodic,32,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,random,16,6324480,6400000,1.0119409026512851,191,49809
Intel_8gen,blurred,16,5539136,6400000,1.1554148517025038,6721,43279
Intel_8gen,blurred,256,153088,6400000,41.80602006688963,48801,1199
Intel_8gen,strided,256,512064,6393856,12.486439195100612,45920,4032
Intel_11gen,periodic,128,276800,425984,1.5389595375722542,1148,2180
Intel_11gen,strided,0,6344128,6393856,1.007838429489443,0,49952
Intel_11gen,random,1,6349120,6400000,1.0080137089864423,14,49986
Intel_8gen,blurred,32,4712512,6400000,1.358086727418413,13181,36819
Intel_11gen,strided,1,1784064,6393856,3.583871430621323,35903,14049
Intel_11gen,periodic,256,276800,425984,1.5389595375722542,1148,2180
Intel_8gen,blurred,128,1204864,6400000,5.311802825879103,40581,9419
Intel_8gen,skew,32,6226816,6400000,1.0278126092050897,1128,48872
Intel_11gen,strided,4,1784064,6393856,3.583871430621323,35903,14049
Intel_11gen,strided,8,1784064,6393856,3.583871430621323,35903,14049
Intel_11gen,random,4,6346304,6400000,1.0084609876866912,46,49954
Intel_8gen,random,32,6297856,6400000,1.016218852892159,418,49582
Intel_11gen,strided,16,1784064,6393856,3.583871430621323,35903,14049
Intel_8gen,blurred,64,3217664,6400000,1.9890206062534808,24858,25142
Intel_11gen,strided,64,512064,6393856,12.486439195100612,45920,4032
Intel_11gen,random,8,6337216,6400000,1.0099071895292822,86,49914
Intel_11gen,blurred,0,6399488,6400000,1.000080006400512,0,50000
Uncompressed,random,64,6292096,6400000,1.0171491344060866,843,49157
Intel_11gen,strided,32,1784064,6393856,3.583871430621323,35903,14049
Intel_11gen,skew,0,6375552,6400000,1.0038346483567226,0,50000
Uncompressed,skew,64,6130304,6400000,1.043993903075606,2107,47893
Intel_11gen,blurred,256,161984,6400000,39.51007506914263,48732,1268
Intel_11gen,random,16,6321600,6400000,1.0124019235636548,214,49786
Intel_11gen,strided,128,512064,6393856,12.486439195100612,45920,4032
Intel_11gen,blurred,1,6346112,6400000,1.0084914984166684,416,49584
Intel_11gen,skew,1,6370368,6400000,1.0046515366145252,32,49968
Intel_11gen,blurred,4,6174144,6400000,1.036580941422811,1758,48242
Intel_11gen,skew,4,6359040,6400000,1.0064412238325282,122,49878
Intel_11gen,blurred,8,5947968,6400000,1.075997718884836,3527,46473
Intel_11gen,skew,8,6339840,6400000,1.0094891984655765,277,49723
Intel_11gen,random,32,6296000,6400000,1.0165184243964422,424,49576
Intel_11gen,strided,256,512064,6393856,12.486439195100612,45920,4032
Intel_11gen,blurred,16,5518848,6400000,1.1596623063363949,6881,43119
Intel_8gen,random,64,6244608,6400000,1.0248841880867463,832,49168
Intel_11gen,skew,16,6299648,6400000,1.01592977893368,572,49428
Intel_8gen,skew,64,6099136,6400000,1.0493289541338313,2148,47852
Intel_11gen,blurred,32,4678080,6400000,1.3680826321909842,13446,36554
Intel_11gen,blurred,128,1221120,6400000,5.241090146750524,40457,9543
Intel_11gen,blurred,64,3232512,6400000,1.9798843747525146,24741,25259
Intel_11gen,skew,32,6242304,6400000,1.025262467191601,1035,48965
Intel_11gen,random,64,6252224,6400000,1.023635749454914,758,49242
Uncompressed,random,128,6195584,6400000,1.0329938226969402,1597,48403
Uncompressed,skew,128,5878016,6400000,1.0888027524933583,4078,45922
