Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,425984,425984,1.0,0,3328
Uncompressed,periodic,1,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,4,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,8,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,16,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,32,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,64,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,128,279040,425984,1.526605504587156,1148,2180
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,1,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,8,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,strided,4,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,periodic,256,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,16,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,random,1,6398592,6400000,1.0002200484106503,11,49989
Uncompressed,strided,64,516096,6393856,12.38888888888889,45920,4032
Uncompressed,skew,1,6395904,6400000,1.0006404098623118,32,49968
Uncompressed,strided,32,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,blurred,1,6343168,6400000,1.008959560900799,444,49556
Uncompressed,random,4,6392448,6400000,1.001181394044973,59,49941
Uncompressed,skew,4,6383872,6400000,1.0025263664434374,126,49874
Uncompressed,blurred,4,6179584,6400000,1.0356684203985251,1722,48278
Uncompressed,random,8,6389504,6400000,1.0016426940181897,82,49918
Uncompressed,strided,128,516096,6393856,12.38888888888889,45920,4032
Uncompressed,skew,8,6363392,6400000,1.0057529066259001,286,49714
Uncompressed,blurred,8,5953536,6400000,1.0749914000687995,3488,46512
Uncompressed,blurred,16,5521664,6400000,1.1590708887755574,6862,43138
Intel_8gen,periodic,0,289792,425984,1.469964664310954,0,3328
Intel_8gen,periodic,4,190144,425984,2.240323123527432,1148,2180
Intel_8gen,periodic,8,190144,425984,2.240323123527432,1148,2180
Uncompressed,random,16,6378368,6400000,1.0033914631454315,169,49831
Intel_8gen,periodic,1,190144,425984,2.240323123527432,1148,2180
Uncompressed,blurred,256,149248,6400000,42.88164665523156,48834,1166
Intel_8gen,periodic,16,190144,425984,2.240323123527432,1148,2180
Uncompressed,skew,16,6333184,6400000,1.0105501434981203,522,49478
Intel_8gen,periodic,32,190144,425984,2.240323123527432,1148,2180
Intel_8gen,periodic,64,190144,425984,2.240323123527432,1148,2180
Intel_8gen,periodic,128,190144,425984,2.240323123527432,1148,2180
Intel_8gen,strided,0,4357568,6393856,1.4672991907412576,0,49952
Uncompressed,strided,256,516096,6393856,12.38888888888889,45920,4032
Intel_8gen,strided,1,1220928,6393856,5.236882109346333,35903,14049
Intel_8gen,strided,4,1220928,6393856,5.236882109346333,35903,14049
Uncompressed,blurred,32,4694400,6400000,1.3633265167007498,13325,36675
Intel_8gen,periodic,256,190144,425984,2.240323123527432,1148,2180
Intel_8gen,strided,8,1220928,6393856,5.236882109346333,35903,14049
Intel_8gen,blurred,0,5786560,6400000,1.1060111707128242,0,50000
Uncompressed,blurred,128,1217152,6400000,5.258176464402145,40491,9509
Intel_8gen,random,0,4372736,6400000,1.463614542474094,0,50000
Intel_8gen,strided,16,1220928,6393856,5.236882109346333,35903,14049
Intel_8gen,strided,64,350080,6393856,18.26398537477148,45920,4032
Uncompressed,random,32,6345344,6400000,1.008613559800698,427,49573
Uncompressed,skew,32,6258048,6400000,1.0226831114110981,1109,48891
Intel_8gen,skew,0,4177408,6400000,1.5320504963843609,0,50000
Uncompressed,blurred,64,3234944,6400000,1.9783959165908283,24727,25273
Intel_8gen,strided,32,1220928,6393856,5.236882109346333,35903,14049
Intel_8gen,random,1,4351104,6400000,1.4708910658076664,15,49985
Intel_8gen,blurred,1,5721984,6400000,1.1184931660067556,460,49540
Intel_8gen,random,4,4361344,6400000,1.4674375605317993,47,49953
Intel_8gen,strided,128,350080,6393856,18.26398537477148,45920,4032
Intel_8gen,blurred,4,5572736,6400000,1.1484484461492523,1714,48286
Intel_8gen,random,8,4357760,6400000,1.4686444411807902,97,49903
Intel_8gen,skew,1,4172160,6400000,1.5339776039269826,36,49964
Intel_8gen,blurred,8,5365376,6400000,1.1928334565927905,3423,46577
Intel_8gen,skew,4,4172480,6400000,1.533859958585781,155,49845
Intel_11gen,periodic,1,183424,425984,2.322400558269365,1148,2180
Intel_11gen,periodic,8,183424,425984,2.322400558269365,1148,2180
Intel_11gen,periodic,0,279424,425984,1.5245075584058634,0,3328
Intel_11gen,periodic,16,183424,425984,2.322400558269365,1148,2180
Intel_11gen,periodic,4,183424,425984,2.322400558269365,1148,2180
Intel_8gen,blurred,16,4961600,6400000,1.289906481780071,6855,43145
Intel_8gen,random,16,4347200,6400000,1.472211998527788,220,49780
Intel_8gen,blurred,256,110592,6400000,57.870370370370374,48897,1103
Intel_8gen,skew,8,4162304,6400000,1.5376099391106464,252,49748
Intel_11gen,random,0,4219200,6400000,1.5168752370117558,0,50000
Intel_8gen,strided,256,350080,6393856,18.26398537477148,45920,4032
Intel_11gen,periodic,32,183424,425984,2.322400558269365,1148,2180
Intel_11gen,periodic,64,183424,425984,2.322400558269365,1148,2180
Uncompressed,random,64,6296832,6400000,1.016384111883563,806,49194
Uncompressed,skew,64,6122752,6400000,1.0452815988627335,2166,47834
Intel_8gen,blurred,32,4182144,6400000,1.53031555106663,13405,36595
Intel_8gen,skew,16,4135744,6400000,1.5474845638414756,584,49416
Intel_11gen,periodic,128,183424,425984,2.322400558269365,1148,2180
Intel_11gen,random,1,4211008,6400000,1.5198261318905117,11,49989
Intel_8gen,blurred,128,1035904,6400000,6.1781786729272214,40332,9668
Intel_11gen,strided,0,4198016,6393856,1.5230661340976308,0,49952
Intel_11gen,random,4,4196864,6400000,1.52494815176284,55,49945
Intel_11gen,strided,1,1176256,6393856,5.435769084280973,35903,14049
Intel_8gen,random,32,4338688,6400000,1.475100306820864,371,49629
Intel_11gen,periodic,256,183424,425984,2.322400558269365,1148,2180
Intel_8gen,blurred,64,2817408,6400000,2.271591476988778,24885,25115
Intel_11gen,strided,4,1176256,6393856,5.435769084280973,35903,14049
Intel_11gen,strided,8,1176256,6393856,5.435769084280973,35903,14049
Intel_11gen,strided,16,1176256,6393856,5.435769084280973,35903,14049
Intel_11gen,blurred,0,5550208,6400000,1.1531099375014413,0,50000
Intel_11gen,strided,64,337408,6393856,18.949924127465856,45920,4032
Intel_8gen,skew,32,4094464,6400000,1.563086157308991,1116,48884
Intel_11gen,random,8,4213440,6400000,1.51894888736994,87,49913
Intel_11gen,strided,32,1176256,6393856,5.435769084280973,35903,14049
Intel_11gen,skew,0,4033216,6400000,1.5868230216283978,0,50000
Intel_11gen,strided,128,337408,6393856,18.949924127465856,45920,4032
Intel_11gen,blurred,1,5510016,6400000,1.1615211280693196,426,49574
Intel_11gen,random,16,4193856,6400000,1.5260419051107144,220,49780
Intel_11gen,blurred,4,5337792,6400000,1.1989976379746532,1752,48248
Intel_11gen,skew,1,4032704,6400000,1.5870244877878465,31,49969
Intel_11gen,blurred,8,5146304,6400000,1.2436109487507927,3405,46595
Intel_8gen,random,64,4314624,6400000,1.4833274000237333,816,49184
Intel_11gen,skew,4,4020160,6400000,1.5919764387487065,128,49872
Intel_11gen,skew,32,3951296,6400000,1.6197217318064756,1110,48890
Intel_11gen,blurred,16,4735488,6400000,1.3514974591847768,6949,43051
Intel_11gen,strided,256,337408,6393856,18.949924127465856,45920,4032
Intel_11gen,skew,8,4005504,6400000,1.5978014252388713,268,49732
Intel_11gen,random,32,4170688,6400000,1.5345190050178772,409,49591
Intel_11gen,blurred,256,118976,6400000,53.79236148466918,48750,1250
Intel_8gen,skew,64,4022144,6400000,1.591191165706648,2185,47815
Intel_11gen,blurred,32,3991296,6400000,1.6034891924828427,13394,36606
Intel_11gen,blurred,128,947904,6400000,6.7517385726824655,40636,9364
Intel_11gen,skew,16,4003840,6400000,1.5984654731457801,530,49470
Uncompressed,skew,128,5869312,6400000,1.0904174117852314,4146,45854
Uncompressed,random,128,6194816,6400000,1.0331218877203132,1603,48397
Intel_11gen,blurred,64,2696064,6400000,2.3738308882875185,24845,25155
Intel_11gen,skew,64,3894144,6400000,1.6434934095914275,2137,47863
Intel_11gen,random,64,4125312,6400000,1.551397809426293,845,49155
