Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,425984,425984,1.0,0,3328
Uncompressed,periodic,1,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,4,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,8,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,16,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,32,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,64,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,128,279040,425984,1.526605504587156,1148,2180
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,1,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,8,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,periodic,256,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,16,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,random,1,6398080,6400000,1.000300090027008,15,49985
Uncompressed,strided,64,516096,6393856,12.38888888888889,45920,4032
Uncompressed,skew,1,6395904,6400000,1.0006404098623118,32,49968
Uncompressed,random,4,6393344,6400000,1.001041082726035,52,49948
Uncompressed,blurred,1,6349824,6400000,1.0079019512981777,392,49608
Uncompressed,strided,32,1798272,6393856,3.5555555555555554,35903,14049
Intel_8gen,periodic,0,415424,425984,1.0254198120474503,0,3328
Intel_8gen,periodic,1,271680,425984,1.567962308598351,1148,2180
Intel_8gen,periodic,4,271680,425984,1.567962308598351,1148,2180
Uncompressed,skew,4,6383104,6400000,1.0026469880484479,132,49868
Intel_8gen,periodic,8,271680,425984,1.567962308598351,1148,2180
Intel_8gen,periodic,16,271680,425984,1.567962308598351,1148,2180
Intel_8gen,periodic,32,271680,425984,1.567962308598351,1148,2180
Uncompressed,blurred,4,6180608,6400000,1.035496831379696,1714,48286
Uncompressed,strided,128,516096,6393856,12.38888888888889,45920,4032
Uncompressed,skew,8,6367104,6400000,1.0051665560983456,257,49743
Intel_8gen,periodic,64,271680,425984,1.567962308598351,1148,2180
Uncompressed,random,8,6387200,6400000,1.002004008016032,100,49900
Intel_8gen,strided,0,6252224,6393856,1.0226530591354372,0,49952
Intel_8gen,periodic,128,271680,425984,1.567962308598351,1148,2180
Uncompressed,blurred,8,5949568,6400000,1.0757083539510768,3519,46481
Intel_8gen,strided,1,1758656,6393856,3.6356490410859204,35903,14049
Intel_8gen,random,0,6255488,6400000,1.0231016349164126,0,50000
Intel_8gen,strided,4,1758656,6393856,3.6356490410859204,35903,14049
Uncompressed,random,16,6375424,6400000,1.003854802441375,192,49808
Intel_8gen,periodic,256,271680,425984,1.567962308598351,1148,2180
Intel_8gen,strided,8,1758656,6393856,3.6356490410859204,35903,14049
Uncompressed,blurred,16,5538816,6400000,1.1554816047328527,6728,43272
Intel_8gen,blurred,0,6375744,6400000,1.0038044187470514,0,50000
Uncompressed,skew,16,6328576,6400000,1.0112859512155656,558,49442
Uncompressed,blurred,256,155776,6400000,41.084634346754314,48783,1217
Intel_8gen,skew,0,6248000,6400000,1.0243277848911652,0,50000
Intel_8gen,strided,16,1758656,6393856,3.6356490410859204,35903,14049
Intel_8gen,strided,64,504192,6393856,12.681391216044682,45920,4032
Intel_8gen,random,1,6256832,6400000,1.022881867373137,15,49985
Uncompressed,strided,256,516096,6393856,12.38888888888889,45920,4032
Intel_8gen,strided,32,1758656,6393856,3.6356490410859204,35903,14049
Intel_8gen,random,4,6252800,6400000,1.0235414534288638,53,49947
Uncompressed,blurred,32,4721280,6400000,1.35556459265284,13115,36885
Intel_8gen,blurred,1,6317952,6400000,1.0129864867602667,439,49561
Intel_8gen,strided,128,504192,6393856,12.681391216044682,45920,4032
Uncompressed,blurred,128,1222912,6400000,5.233410090014654,40446,9554
Intel_8gen,skew,1,6245440,6400000,1.024747655889737,34,49966
Intel_8gen,random,8,6249792,6400000,1.0240340798541776,110,49890
Intel_8gen,blurred,4,6152960,6400000,1.0401497815685459,1719,48281
Uncompressed,skew,32,6261632,6400000,1.022097753429138,1081,48919
Intel_11gen,periodic,1,271680,425984,1.567962308598351,1148,2180
Intel_8gen,skew,4,6234688,6400000,1.026514879333176,148,49852
Uncompressed,blurred,64,3203456,6400000,1.997842330283294,24973,25027
Intel_11gen,periodic,0,415424,425984,1.0254198120474503,0,3328
Uncompressed,random,32,6344320,6400000,1.0087763542822556,435,49565
Intel_8gen,blurred,8,5934144,6400000,1.0785043301948858,3456,46544
Intel_11gen,periodic,4,271680,425984,1.567962308598351,1148,2180
Intel_11gen,periodic,8,271680,425984,1.567962308598351,1148,2180
Intel_11gen,periodic,16,271680,425984,1.567962308598351,1148,2180
Intel_8gen,skew,8,6216576,6400000,1.0295056313958038,275,49725
Intel_11gen,periodic,32,271680,425984,1.567962308598351,1148,2180
Intel_11gen,random,0,6255936,6400000,1.0230283685766606,0,50000
Intel_8gen,blurred,16,5521344,6400000,1.1591380649349143,6684,43316
Intel_8gen,random,16,6232064,6400000,1.0269470916858363,223,49777
Intel_8gen,blurred,256,155200,6400000,41.23711340206186,48773,1227
Intel_11gen,periodic,128,271680,425984,1.567962308598351,1148,2180
Intel_11gen,periodic,64,271680,425984,1.567962308598351,1148,2180
Intel_8gen,strided,256,504192,6393856,12.681391216044682,45920,4032
Intel_11gen,strided,0,6248000,6393856,1.0233444302176697,0,49952
Intel_11gen,strided,1,1757504,6393856,3.638032118276829,35903,14049
Intel_8gen,skew,16,6189824,6400000,1.0339550849911079,511,49489
Intel_11gen,random,1,6251328,6400000,1.0237824667014752,18,49982
Intel_11gen,periodic,256,271680,425984,1.567962308598351,1148,2180
Intel_11gen,skew,1,6240896,6400000,1.0254937752527842,31,49969
Intel_11gen,strided,4,1757504,6393856,3.638032118276829,35903,14049
Intel_8gen,blurred,32,4670656,6400000,1.3702571972759288,13324,36676
Intel_11gen,strided,8,1757504,6393856,3.638032118276829,35903,14049
Intel_8gen,blurred,128,1181376,6400000,5.41741156075627,40644,9356
Intel_11gen,random,4,6249984,6400000,1.0240026214467108,49,49951
Intel_11gen,strided,16,1757504,6393856,3.638032118276829,35903,14049
Intel_8gen,random,32,6210368,6400000,1.0305347444789101,389,49611
Intel_8gen,blurred,64,3214080,6400000,1.9912385503783354,24714,25286
Intel_11gen,strided,64,503808,6393856,12.691056910569106,45920,4032
Intel_11gen,random,8,6245696,6400000,1.0247056533010892,97,49903
Intel_11gen,blurred,0,6374912,6400000,1.0039354268733436,0,50000
Uncompressed,skew,64,6130944,6400000,1.0438849221261848,2102,47898
Uncompressed,random,64,6290688,6400000,1.0173767956700444,854,49146
Intel_11gen,strided,32,1757504,6393856,3.638032118276829,35903,14049
Intel_11gen,skew,0,6241280,6400000,1.0254306808859721,0,50000
Intel_8gen,skew,32,6118784,6400000,1.0459594586113843,1044,48956
Intel_11gen,strided,128,503808,6393856,12.691056910569106,45920,4032
Intel_11gen,skew,16,6173440,6400000,1.036699149906697,569,49431
Intel_11gen,blurred,1,6320640,6400000,1.012555690562981,438,49562
Intel_11gen,random,16,6225792,6400000,1.0279816608071712,221,49779
Intel_11gen,blurred,4,6152128,6400000,1.0402904490933869,1760,48240
Intel_11gen,skew,4,6223296,6400000,1.0283939571571077,149,49851
Intel_11gen,blurred,8,5934720,6400000,1.0783996549121104,3452,46548
Intel_8gen,skew,64,5977984,6400000,1.0705950367214097,2153,47847
Intel_11gen,skew,8,6208128,6400000,1.0309065792457888,258,49742
Intel_11gen,random,32,6206144,6400000,1.0312361427643315,425,49575
Intel_11gen,strided,256,503808,6393856,12.691056910569106,45920,4032
Intel_11gen,blurred,256,153536,6400000,41.68403501458941,48785,1215
Intel_8gen,random,64,6161664,6400000,1.03868046034318,777,49223
Intel_11gen,blurred,16,5509952,6400000,1.1615346195393355,6763,43237
Intel_11gen,blurred,32,4675776,6400000,1.368756758236494,13282,36718
Intel_11gen,blurred,128,1219008,6400000,5.250170630545493,40349,9651
Intel_11gen,blurred,64,3215424,6400000,1.9904062419139747,24702,25298
Intel_11gen,skew,32,6111168,6400000,1.0472629782064575,1071,48929
Uncompressed,skew,128,5845376,6400000,1.0948825191057,4333,45667
Intel_11gen,random,64,6154880,6400000,1.0398253093480296,841,49159
Uncompressed,random,128,6183424,6400000,1.0350252546162126,1692,48308
